"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Portfolio Sales Professional- Analytical Products and Solutions (AP) business -TX-IL-MO-KS"," Siemens PLC  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=830&ao=344663&s=58&guid=000001672e48c67c8b07e1eeada6cde0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_edf0583c&cb=1542669780835&jobListingId=2926125896"," 19 days ago"
"Senior Front End Developer"," IBM  ","TX","Austin","$93k-$139k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=901&ao=194074&s=149&guid=000001672e48cbc7a15b186588175e46&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_165f5603&cb=1542669782093&jobListingId=3017376019"," 12 days ago"
"Cloud Support Manager"," IBM  ","TX","Austin","$60k-$85k","Austin, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=902&ao=182838&s=149&guid=000001672e48cbc7a15b186588175e46&src=GD_JOB_AD&t=SRFJ&extid=4&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_341e21d7&cb=1542669782095&jobListingId=3020472853"," 10 days ago"
"Siemens Wind Turbine Field Technician"," FairWind, Inc  ","TX","Abilene","","Abilene, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=901&ao=4341&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2fd02dca&cb=1542669782096&jobListingId=2627030136"," 11 days ago"
"MR/CT Engineer – Siemens or GE"," Medical Imaging Solutions  ","TX","Dallas","","Dallas, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=902&ao=4120&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_0d92f248&cb=1542669782097&jobListingId=2894625000"," 13 days ago"
"Electrical & Controls Designer"," Siemens PLC  ","TX","Houston","$75k-$100k","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=903&ao=344663&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1bbbe09a&cb=1542669782098&jobListingId=2981584296"," 14 days ago"
"Controls Engineer - TIA Portal Siemens & Allen Bradley"," PROD Design & Analysis, Inc.  New","TX","El Paso","","El Paso, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=904&ao=389273&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_08aab9c1&cb=1542669782100&jobListingId=3027384901","7 days ago"
"Imaging Field Service Engineer II (Siemens)"," The InterMed Group  ","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=905&ao=37049&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_efd61643&cb=1542669782101&jobListingId=3001914692"," 26 days ago"
"Portfolio Unit SA&P Director with Siemens"," Houston Interviews  New","TX","Houston","","Houston, TX","https://www.glassdoor.com/partner/jobListing.htm?pos=906&ao=37049&s=58&guid=000001672e48cbc7b068e13a2cf053e0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_091c9fe1&cb=1542669782102&jobListingId=2910370201","7 days ago"
"EHS Specialist 3"," Siemens  ","IL","Hoffman Estates","$61k-$91k","Hoffman Estates, IL","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=182759&s=58&guid=000001672e48ce3a99ce6303ab2d04f0&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1c8f3de5&cb=1542669782681&jobListingId=3025415888"," 5 days ago"
