"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Intern - Commercial Vehicle ECU and On Board Charger Development"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=402&ao=283198&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_bdb2ac24&cb=1542669764951&jobListingId=3025741788"," 16 days ago"
"Intern - Radio Frequency Engineer"," Continental Corporation  ","MI","Troy","$48k-$66k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=283198&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1db1eb8f&cb=1542669764952&jobListingId=3025430418"," 22 days ago"
"Mechanical Maintenance Engineer - Curing"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=404&ao=189299&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e94b1c93&cb=1542669764953&jobListingId=3024598387"," 18 days ago"
"Product Test Technician"," Continental Corporation  ","MI","Auburn Hills","$14-$23 per hour","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=405&ao=283198&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_adef031b&cb=1542669764955&jobListingId=3025118200"," 16 days ago"
"Intern - Vehicle Dynamics Business Unit Purchasing, Summer"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=406&ao=182894&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6a876525&cb=1542669764956&jobListingId=3025057886"," 24 days ago"
"Project Manager"," Continental Corporation  ","MI","Auburn Hills","$49k-$71k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=407&ao=173354&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5a3dfff6&cb=1542669764957&jobListingId=3000920834"," 27 days ago"
"Powertrain ECU Systems Software Engineer"," Continental Corporation  ","MI","Auburn Hills","$65k-$97k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=408&ao=173354&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_addb25d9&cb=1542669764958&jobListingId=3013998260"," 15 days ago"
"Lab Quality Inspector II"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=409&ao=283198&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4821181a&cb=1542669764960&jobListingId=3025505901"," 30+ days ago"
"Intern - Mechanical Engineering"," Continental  ","MI","Auburn Hills","$37k-$92k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=410&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_cb2d5cf1&cb=1542669764962&jobListingId=3029374909","7 days ago"
"Intern - QL Test Engineering"," Continental  ","MI","Auburn Hills","$50k-$60k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=411&ao=177462&s=58&guid=000001672e4888d7b2fd9a47b1a31610&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_294ee169&cb=1542669764964&jobListingId=3029374969"," 1 day ago"
