"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Associate Product Engineer - Steering & Suspension"," Delphi Technologies  ","MI","Troy","$66k-$86k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_606ecf45&cb=1542669773779&jobListingId=3025985346"," 4 days ago"
"On-Board Diagnostics Design Engineer"," Delphi Technologies  ","MI","Troy","$82k-$111k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a1350011&cb=1542669773942&jobListingId=3029256974"," 5 days ago"
"Lead Product Engineer"," Delphi Technologies  ","MI","Troy","$95k-$122k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_be185023&cb=1542669773945&jobListingId=2907647132"," 5 days ago"
"Lead Manufacturing Engineer"," Delphi Technologies  ","MI","Troy","$61k-$147k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=321255&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_47c5ef06&cb=1542669773947&jobListingId=3029311085"," 5 days ago"
"Aftermarket Supply Chain Manager - North America"," Delphi Technologies  ","MI","Troy","$97k-$143k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=133025&s=58&guid=000001672e48aaab8d5f846b1d96dc8a&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5fb824c8&cb=1542669773949&jobListingId=3028471688","7 days ago"
"Warehouse and Logistics Coordinator"," Delphi Technologies  ","MI","Troy","$44k-$69k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_73158020&cb=1542669774725&jobListingId=3008904946"," 19 days ago"
"Material Flow Coordinator"," Delphi Technologies  ","MI","Troy","$50k-$73k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9b8340d1&cb=1542669774727&jobListingId=3016826756"," 12 days ago"
"Quality Engineer"," Delphi Technologies  ","MI","Troy","$57k-$116k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a4a8cb3e&cb=1542669774728&jobListingId=3008904868","7 days ago"
"Advanced Propulsion Controls- Software Systems Engineer"," Delphi Technologies  ","MI","Auburn Hills","$69k-$136k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_1176e3bb&cb=1542669774729&jobListingId=3001578980"," 26 days ago"
"Advanced Systems-Senior Systems Engineer"," Delphi Technologies  ","MI","Auburn Hills","$85k-$164k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_553b13b5&cb=1542669774731&jobListingId=3015171145"," 13 days ago"
"Revenue Planning System Data Analyst"," Delphi Technologies  ","MI","Troy","$70k-$89k","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3b9262e0&cb=1542669774732&jobListingId=3012008499"," 17 days ago"
"Account Manager"," Delphi Technologies  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_4e6711a4&cb=1542669774734&jobListingId=2817129136"," 16 days ago"
"Advanced Propulsion Controls- Control Systems Engineer"," Delphi Technologies  ","MI","Auburn Hills","$75k-$105k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_9a784059&cb=1542669774735&jobListingId=3001578965"," 26 days ago"
"Sales Intern"," Delphi Technologies  ","MI","Troy","","Troy, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=133025&s=58&guid=000001672e48aef6867c9c4d84a60557&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2509bd08&cb=1542669774736&jobListingId=3000343135"," 28 days ago"
